gene_name	localisation
SLC6A16	Golgi-apparatus
BICRA	Nucleoplasm
SPHK2	Nucleoplasm
RPL18	Cytosol
RPL18	Endoplasmic-reticulum
CA11	Microtubules
CA11	Vesicles
ISOC2	Mitochondria
U2AF2	Nuclear-speckles
U2AF2	Nucleoplasm
EPN1	Cytosol
EPN1	Plasma-membrane
MED29	Nucleoplasm
AHRR	Nucleoplasm
ZNF275	Nucleoli
MTMR1	Vesicles
GPC1	Cytosol
GPC1	Plasma-membrane
RNF4	Nuclear-bodies
RNF4	Nucleoplasm
LIMCH1	Actin-filaments
INTS13	Nucleoplasm
TM7SF3	Cytosol
DLX3	Nucleoplasm
SPA17	Golgi-apparatus
SPA17	Principal-piece
TSPAN32	Nucleoplasm
CCN5	Plasma-membrane
ATP2C2	Focal-adhesion-sites
ATP2C2	Plasma-membrane
NGFR	Nucleoplasm
NGFR	Plasma-membrane
HIPK2	Nucleoplasm
TNPO3	Cytosol
BORCS8-MEF2B	Cytosol
BORCS8-MEF2B	Nucleoplasm
RFXANK	Nucleoplasm
TMEM161A	Cytosol
CTSA	Vesicles
SUGP2	Nucleoplasm
SLC12A2	Plasma-membrane
SLC12A2	Vesicles
SNX24	Vesicles
EYA2	Cytosol
CNN2	Actin-filaments
ABCA7	Golgi-apparatus
ABCA7	Plasma-membrane
SNCAIP	Cytoplasmic-bodies
DDX20	Nuclear-bodies
BTBD1	Cytoplasmic-bodies
FAR2	Golgi-apparatus
BCAS1	Vesicles
POU1F1	Cytosol
POU1F1	Nucleoplasm
PMS1	Nuclear-bodies
HMG20B	Nucleoplasm
CALCRL	Plasma-membrane
TAF11	Nucleoplasm
ANKS1A	Nucleoplasm
AP3D1	Cytosol
ZNF76	Nucleoplasm
SLC9A3R2	Plasma-membrane
BLTP3A	Nuclear-membrane
BLTP3A	Nucleoplasm
GNAI3	Centrosome
GNAI3	Principal-piece
IPO5	Nuclear-membrane
IPO5	Nucleoplasm
OAT	Mitochondria
WDR3	Nucleoli
PKN2	Intermediate-filaments
PKN2	Nucleoplasm
WDR18	Nucleoplasm
TRAM2	Cytosol
NTN1	Cytosol
GLP2R	Plasma-membrane
MCM10	Nucleoli
MCM10	Nucleoplasm
DGKA	Vesicles
ERBB3	Plasma-membrane
ROPN1	Principal-piece
ANKRD44	Mitochondria
KARS1	Cytosol
ADAT1	Nucleoplasm
PDIA5	Endoplasmic-reticulum
NDUFB4	Mitochondria
SPEN	Nucleoplasm
MYLK	Actin-filaments
ZC3H15	Cytosol
MAP2K4	Nucleoplasm
SNAP91	Cytosol
SLK	Cytosol
COL17A1	Plasma-membrane
